event_date,year,type,total_events
2017-01-23,2017,CommitCommentEvent,2907
2017-01-23,2017,CreateEvent,159290
2017-01-23,2017,DeleteEvent,26167
2017-01-23,2017,GollumEvent,8345
2017-01-23,2017,IssueCommentEvent,89918
2017-01-23,2017,IssuesEvent,43194
2017-01-23,2017,MemberEvent,6180
2017-01-23,2017,PublicEvent,1277
2017-01-23,2017,PullRequestEvent,63045
2017-01-23,2017,PullRequestReviewCommentEvent,24392
2017-01-23,2017,PushEvent,540051
2017-01-23,2017,ReleaseEvent,4258
2017-01-23,2017,WatchEvent,86180
2017-01-24,2017,CommitCommentEvent,3308
2017-01-24,2017,CreateEvent,155284
2017-01-24,2017,DeleteEvent,27055
2017-01-24,2017,GollumEvent,7895
2017-01-24,2017,IssueCommentEvent,97268
2017-01-24,2017,IssuesEvent,45198
2017-01-24,2017,MemberEvent,7265
2017-01-24,2017,PublicEvent,1158
2017-01-24,2017,PullRequestEvent,66458
2017-01-24,2017,PullRequestReviewCommentEvent,26582
2017-01-24,2017,PushEvent,560081
2017-01-24,2017,ReleaseEvent,4160
2017-01-24,2017,WatchEvent,82347
2017-01-25,2017,CommitCommentEvent,2853
2017-01-25,2017,CreateEvent,155939
2017-01-25,2017,DeleteEvent,29085
2017-01-25,2017,GollumEvent,7780
2017-01-25,2017,IssueCommentEvent,95045
2017-01-25,2017,IssuesEvent,45471
2017-01-25,2017,MemberEvent,6129
2017-01-25,2017,PublicEvent,1141
2017-01-25,2017,PullRequestEvent,68887
2017-01-25,2017,PullRequestReviewCommentEvent,25130
2017-01-25,2017,PushEvent,546130
2017-01-25,2017,ReleaseEvent,3935
2017-01-25,2017,WatchEvent,77122
2017-01-26,2017,CommitCommentEvent,2882
2017-01-26,2017,CreateEvent,142701
2017-01-26,2017,DeleteEvent,25870
2017-01-26,2017,GollumEvent,7152
2017-01-26,2017,IssueCommentEvent,90250
2017-01-26,2017,IssuesEvent,41819
2017-01-26,2017,MemberEvent,5713
2017-01-26,2017,PublicEvent,1091
2017-01-26,2017,PullRequestEvent,64930
2017-01-26,2017,PullRequestReviewCommentEvent,24456
2017-01-26,2017,PushEvent,509469
2017-01-26,2017,ReleaseEvent,4148
2017-01-26,2017,WatchEvent,69842
2017-01-27,2017,CommitCommentEvent,2541
2017-01-27,2017,CreateEvent,134038
2017-01-27,2017,DeleteEvent,22748
2017-01-27,2017,GollumEvent,6740
2017-01-27,2017,IssueCommentEvent,82885
2017-01-27,2017,IssuesEvent,40423
2017-01-27,2017,MemberEvent,5136
2017-01-27,2017,PublicEvent,1021
2017-01-27,2017,PullRequestEvent,60330
2017-01-27,2017,PullRequestReviewCommentEvent,21608
2017-01-27,2017,PushEvent,474955
2017-01-27,2017,ReleaseEvent,3575
2017-01-27,2017,WatchEvent,62616
2017-01-28,2017,CommitCommentEvent,1545
2017-01-28,2017,CreateEvent,97287
2017-01-28,2017,DeleteEvent,16218
2017-01-28,2017,GollumEvent,4426
2017-01-28,2017,IssueCommentEvent,45098
2017-01-28,2017,IssuesEvent,24352
2017-01-28,2017,MemberEvent,3102
2017-01-28,2017,PublicEvent,702
2017-01-28,2017,PullRequestEvent,34322
2017-01-28,2017,PullRequestReviewCommentEvent,8336
2017-01-28,2017,PushEvent,341494
2017-01-28,2017,ReleaseEvent,2460
2017-01-28,2017,WatchEvent,48561
2017-01-29,2017,CommitCommentEvent,1695
2017-01-29,2017,CreateEvent,98095
2017-01-29,2017,DeleteEvent,16962
2017-01-29,2017,GollumEvent,5257
2017-01-29,2017,IssueCommentEvent,44017
